question,answer,img_id,type
màu của xe đạp là gì,màu đỏ,88123,2
trận đấu quần vợt đang diễn ra ở đâu,sân vận động,39405,3
có bao nhiêu người cầm ô đi qua cây cầu gỗ,ba,149230,1
màu của bảng là gì,màu trắng,193947,2
màu đỏ và làm bằng thủy tinh là gì,lọ cắm hoa,400847,0
màu của chiếc ô là gì,màu tía,7642,2
màu sắc của nhân vật là gì,màu tía,220218,2
những gì đang di chuyển xung quanh  một con đờng uốn cong,xe ô tô,580829,0
những gì mở của tàu trắng và đỏ,cửa,547583,0
có bao nhiêu con ngựa vằn trên cánh đồng cỏ dưới gốc cây,ba,197437,1
con mèo xám đang ngồi ở đâu,vali,465695,3
người đàn ông đang đẩy một cái tủ lạnh đang được xây dựng ở đâu,nhà,39434,3
con voi nhỏ bé cắn một đường ray ở đâu,chuồng,461967,3
những gì đang ngồi trên một tờ giấy nhàu nát,con mèo,502275,0
có bao nhiêu người đang giữ một con ngựa đua trên đường đua,ba,255123,1
có bao nhiêu con cừu đang nghỉ ngơi trên đồng cỏ gần cái cây có hàng rào,năm,353562,1
những gì xếp trên tường trong một phòng,nhà vệ sinh,566189,0
màu của vali là gì,màu xanh dương,75084,2
chuối được trưng bày ở đâu,cửa hàng,303668,3
cái gì đậu trên cỏ bên cạnh một tòa nhà có ô tô và máy bay đậu gần đó,xe máy,359086,0
trong một khu vực có thảm thực vật màu xanh lá cây và màu vàng đứng như thế nào,ngựa rằn,375573,0
bàn chải và nhà vệ sinh ở đâu,phòng tắm,133791,3
có bao nhiêu máy tính xách tay được bật lên xếp hàng trên bàn,ba,267042,1
pizza đưa vào đâu trên giá kim loại,lò vi sóng,517690,3
có bao nhiêu điều khiển từ xa nằm cạnh nhau,ba,286816,1
hoa trên bàn ngoài trời ở đâu,lọ cắm hoa,367853,3
màu của cuốn sách là gì,màu vàng,47944,2
có bao nhiêu thuyền trên sông với mái chèo ở bên và cây ở phía sau,hai,510293,1
nhóm tập hợp xung quanh cái gì tại một chiếc máy bay,hành lý,472376,0
tất cả có bao nhiêu con ngựa vằn cho thấy sự ủng hộ của họ trong khi gặm cỏ,ba,505919,1
người đang nằm ở đâu,giường,35672,3
ba con voi đang lấy gì từ một vùng nước,nước,381254,0
con chó đang ngồi ở đâu,giường,248091,3
sáu loại bánh rán khác nhau được sắp xếp ở đâu,hộp,548393,3
những gì đỗ bên cạnh bến thuyền với những người đứng trên đó,xe đạp,388619,0
màu của bầu trời là gì,màu xanh dương,546285,2
người phụ nữ và hai em bé bơi ở đâu,hồ bơi,196672,3
xe máy đang hoạt động ở đâu,ga-ra,436856,3
người đầu bếp rán cá ở đâu,phòng bếp,205601,3
những gì được đẩy lên chống lại nhau,giường,483531,0
"nhà bếp cần lau dọn ở đâu, nhưng pizza đã sẵn sàng để được đặt",lò vi sóng,44774,3
người đàn ông đang cầm gì và đi bộ xuống vỉa hè trong mưa,chiếc ô,379259,0
có bao nhiêu món tráng miệng trong hộp các tông màu trắng,sáu,102589,1
người phụ nữ trộn một ít thức ăn ở đâu,cái nồi,463004,3
người chơi bóng chày đang giữ những gì đang được quay bởi một người đàn ông máy ảnh,gậy,404923,0
pizza rau đã sẵn sàng để đi đâu,lò vi sóng,94791,3
những gì đã cất lên trên các bãi biển trên cát,con thuyền,526751,0
người đàn ông đang thể hiện điều gì,cà vạt,460683,0
màu của nước ép là gì,màu cam,426445,2
cái gì đang ngồi lề đường trên đường,phương tiện giao thông,374485,0
màu của quần short là gì,màu đen,92301,2
con voi vươn vòi lên trên ở đâu,chuồng,221089,3
đỗ gì ở ga tàu,xe lửa,550372,0
người phụ nữ mỉm cười đang ở đâu,phòng,57995,3
có bao nhiêu người đang chơi trò chơi với bộ điều khiển màu đen,ba,403743,1
con mèo đang nhìn ở đâu trong khi một con chó quan sát,tủ đá,448530,3
những gì nằm trong khoảng trống vào một ngày quang đãng,tòa tháp,477435,0
cậu bé đang ngồi ở đâu,trạm,65191,3
những gì đỗ bên ngoài tòa nhà theo chủ đề châu á,xe máy,399942,0
một chiếc xe tải nhỏ màu cam ở đâu,đường phố,393412,3
màu sắc của các dấu hiệu là gì,màu xanh lá,228727,2
những gì tất cả đậu sau bên cạnh nhau xếp hàng trên đường,xe đạp,436174,0
người phụ nữ được điều chỉnh gì trong thành phố,cà vạt,450075,0
một số bánh rán lớn ở đâu,hộp,81779,3
6 món tráng miệng được chứa ở đâu,hộp,102589,3
con mèo đang ngồi ở đâu,chậu,567754,3
có bao nhiêu vợt tennis được treo từ một hàng rào liên kết chuỗi,bốn,560180,1
có bao nhiêu con gấu bắc cực đang cố gắng vượt qua một con khác trong trò chơi đấu vật dưới nước,một,400299,1
những gì đang đứng bên đường,con ngựa,514248,0
những gì đang đứng trên đồng bằng,ngựa vằn,548848,0
những gì đang đi trên cỏ,con ngựa,489266,0
máy tính xách tay ở đâu,cỗ máy,275353,3
màu sắc của đầu máy là gì,màu đen,55642,2
nơi trẻ tuổi giường tầng và tủ quần áo,phòng ngủ,229990,3
hai giường đơn ở đâu,phòng,48710,3
những gì đang đi bộ trên đồng cỏ,ngựa rằn,371243,0
những gì đang đi xuống một con đường,xe buýt,499615,0
xe máy và xe hơi đang ở đâu,ga-ra,63828,3
màu của xe là gì,màu xanh dương,501957,2
tòa nhà gạch lớn trải dài vào bầu trời xanh và có những gì,đồng hồ,520683,0
điều gì tìm thấy một cái gì đó để nhai bên dưới một băng ghế,con chó,441458,0
những gì đi lại trên đường ray trong khu đô thị lớn,xe lửa,520503,0
anh chàng ăn pizza ở đâu,chung cư,77903,3
màu của bồn tắm là gì,màu trắng,361811,2
những gì bên cạnh một bức tượng,con chim,339759,0
người đàn ông đang ngồi ở đâu,xe ô tô,389577,3
có bao nhiêu người đàn ông trao cúp qua lưới trong một sân tennis,bốn,486606,1
hai đứa trẻ đang chơi bóng chày ở đâu,đường phố,301916,3
người đàn ông đang giữ cái gì trên một chiếc ghế dài,ván trượt,348795,0
có gì đỗ gần một số xe hơi,xe đạp,406253,0
con ngựa đá cái gì,con ngựa,357044,0
có bao nhiêu chiếc máy bay bay theo đội hình và để lại những vệt khói trang trí phía sau chúng,bảy,206001,1
cái gì đang đỗ trước một người xem tháp nhìn ra nước,xe máy,432309,0
những gì ngủ với nhau trên bàn máy tính,con mèo,499365,0
cái gì đang đứng trên tuyết với hai chiếc đĩa,con chó,379077,0
những gì được hiển thị trên khay sáng bóng,bánh,367619,0
màu của con mèo là gì,màu đen,296161,2
màu của gấu bông là gì,màu xám,567523,2
màu sắc của bông hoa là gì,màu vàng,314561,2
bơi những gì được bao quanh bởi ghế dài và ô với rừng trong nền,hồ bơi,369982,0
có bao nhiêu máy tính nối mạng đang ngồi tại một trạm làm việc,bốn,465825,1
có bao nhiêu đèn giao thông đang hướng về tất cả các hướng khác nhau,bốn,367843,1
một người đàn ông lớn tuổi thể hiện những gì,cà vạt,559821,0
những gì đang ăn cỏ trên cánh đồng,con cừu,489588,0
màu của con ngựa là gì,màu nâu,250352,2
có bao nhiêu ấm đun nước có chân đặt trên bệ cạnh một ấm đun nước khác có chân đặt trên sàn.,một,352093,1
những gì đỗ ở bên đường,xe tải,431431,0
người đàn ông trung niên râu ôm ấp những gì,gấu,566529,0
những gì trong bình hoa cao trong vắt với nước,bông hoa,500825,0
những gì gắn vào bên của một tòa nhà,đồng hồ,540789,0
mẹ và con trai chơi đùa ở đâu,phòng ngủ,464150,3
có bao nhiêu con ngựa đang nằm xuống trong khi hai con khác đang đứng trên cánh đồng,một,468193,1
màu của con mèo là gì,màu đen,296161,2
màu của bầu trời là gì,màu xanh dương,466499,2
có bao nhiêu con ngựa vằn đứng dưới gốc cây trong một khu vực có hàng rào,bốn,448861,1
con ngựa kéo những gì đang đi trên một con phố,xe,495786,0
cái gì đã gắn tivi và đóng trong tủ trong phòng ngủ,tường,483328,0
có bao nhiêu con gấu bông thắt nút trên vải,hai,15809,1
vài chiếc xe máy đang di chuyển ở đâu,đường phố,185293,3
những gì đang bay trên bầu trời trên một hồ nước,con chim,544811,0
người đàn ông với một vật nuôi râu đỏ thô,con ngựa,546222,0
màu của lá là gì,màu xanh lá,38310,2
cô gái trẻ xinh đẹp đung đưa những gì,vợt,563927,0
người phụ nữ tóc vàng đang thay đổi trang phục của cô ấy ở đâu,phòng ngủ,159704,3
những gì di chuyển sang một bên cành cây để ăn rời khỏi các nhánh với thân cây của nó,con voi,508731,0
xe máy có túi ở phía sau đậu ở đâu,đường bộ,8193,3
người đàn ông đang ngủ ở đâu,giường,14970,3
cậu bé bay gì,diều,392687,0
nơi có nhiều loại trái cây trưng bày ở đâu,thùng chứa,7367,3
màu của thức ăn là gì,màu trắng,364549,2
dòng xe cộ đông đúc ở đâu,đường phố,43001,3
hai thanh niên đứng trên một dòng sông,con voi,569379,0
màu của xe máy là gì,màu đỏ,130553,2
những gì đang đứng cùng nhau trong một khoảng trống,con ngựa,474762,0
có bao nhiêu trẻ em đang thả diều hộp gần đại dương,ba,256775,1
những gì đang đứng xung quanh không làm gì cả,hươu cao cổ,474471,0
có bao nhiêu người đứng trên một nền tảng gần một chuyến tàu,ba,308139,1
có bao nhiêu người đàn ông đang chơi bóng đá một người đàn ông đã trưởng thành,ba,453757,1
người đàn ông cưỡi cái gì xuống dốc trượt tuyết,ván trượt,473121,0
những gì chứa đầy những bông hoa màu cam đậm và một cây gậy,lọ cắm hoa,415015,0
cái gì đang đứng trên cánh đồng,con voi,474347,0
có bao nhiêu chiếc vali nằm trong tuyết bên cạnh một con phố,hai,257988,1
những gì được xếp hàng trên đường bên cạnh nhau,xe máy,391011,0
có bao nhiêu chú cừu lông cừu được vẽ bằng những chữ cái nhỏ màu xanh,sáu,111002,1
thủy tinh trong suốt màu xanh như vật thể tròn ở đâu,kho,232410,3
tàu sắt anh đang đợi ở đâu,trạm,404739,3
ăn cỏ trong một cánh đồng là gì,ngựa vằn,392260,0
có bao nhiêu cái bình được bày trên bệ,bảy,140352,1
những gì được neo trên bờ hồ trước nhà,con thuyền,410612,0
những gì vào không khí giữa những cái cây,tòa tháp,402570,0
con gấu bông nằm trên gối ở đâu,giường,387576,3
một con voi xoăn trong một khu vực có rào chắn,thân cây,392905,0
đàn bò đứng ở đâu,đường bộ,157792,3
những gì nằm bên ngoài cửa kính ai đó,con chim,538976,0
có bao nhiêu chiếc bánh mì kẹp giấy bị mắc kẹt trong cốc,ba,246641,1
bột được phết ở đâu,chảo,299326,3
màu của vòi nước là gì,màu xanh lá,104811,2
cái gì đang kéo hai người trên một chiếc xe ngựa trên một con phố,con ngựa,359925,0
hai người đàn ông đang nhìn lửa ở đâu,lò vi sóng,470046,3
những gì chứa đầy rất nhiều dưa chuột thái lát,máy xay,413120,0
những gì đang sống với chiếc ghế dài và bàn cà phê,phòng,444207,0
những gì đỗ trên vỉa hè gần một tòa nhà,xe máy,421952,0
màu nước là gì,màu xanh dương,433637,2
màu của chiếc ô là gì,màu tía,7642,2
cái gì đang ngồi bên nhau,xe tải,398507,0
con vật màu đen có thể là một con mèo ở đâu,vali,335092,3
những gì trong khu vực kín với một số cỏ,con bò,423336,0
những gì đang cất cánh trên đường băng,máy bay,352151,0
những gì đang chăn thả trên một cánh đồng mở,con bò,489588,0
đang chơi gì trong một cánh đồng cùng nhau,gấu,377282,0
màu của ghế là gì,màu đỏ,413414,2
màu của chiếc ghế dài là gì,màu nâu,350506,2
màu của chiếc nắp là gì,màu tía,129771,2
những gì ăn những tán lá tự nhiên ở nơi hoang dã,hươu cao cổ,414109,0
những gì sơn màu đen và trắng trên vỉa hè bằng gạch,vòi,385042,0
những gì bao quanh bởi giao thông và đường phố thành phố,bức tượng,393277,0
màu của gấu là gì,màu đen,105134,2
có bao nhiêu con bê đang đẻ trên đồng cỏ,hai,496439,1
người đàn ông đang nhìn ra khỏi cửa sổ ở đâu,giường,269234,3
những gì đứng trong xe ngựa hạn chế nhỏ,nhà ở,450577,0
cặp đôi đi qua một dòng sông là gì,con ngựa,415856,0
người giữ những gì với chân trên máy tính xách tay,con chó,561411,0
người đang đi đâu trên ván trượt của mình,đường phố,135270,3
những gì giữ và sắp xếp cây xanh,lọ cắm hoa,439738,0
cái gì đang ngồi trên mặt đất bên cạnh một tòa nhà,xe đạp,451896,0
màu của động cơ là gì,màu cam,455132,2
những gì nhai trên đồ chơi trên sàn nhà,con chó,460430,0
những gì thiết lập trên một chiếc ghế dài để bạn bè chơi cùng nhau,laptop,517081,0
những gì trên mặt đất trong cỏ,táo,363574,0
có bao nhiêu người chơi trò chơi ném đĩa trong khu vực cỏ,ba,332852,1
màu của thân cây là gì,màu đen,513214,2
khung cảnh cho thấy mọi người ở đâu,đường phố,488432,3
hai đứa trẻ đang ở đâu,sân,525450,3
người đang rửa một con chó ở đâu,bồn tắm,329011,3
nhóm đàn ông đang điều tra cái gì,hộp đựng,356648,0
có bao nhiêu con ngựa và chúng được thể hiện bằng màu đen và trắng,hai,491666,1
màu của bảng là gì,màu nâu,381642,2
có bao nhiêu người đang cưỡi ba ​​con ngựa dọc theo bãi biển,ba,532007,1
có bao nhiêu người đứng trong hàng trên đỉnh đồi với một thị trấn ở phía sau,bốn,157170,1
"cái gì đứng cạnh với chuối, kiwis và đu đủ",hoa quả,581781,0
em bé nhỏ nằm ở đâu,vali,151783,3
bộ ba mảnh ghép là gì,vali,464787,0
xe đẩy nhựa ở đâu,phòng bếp,398349,3
người đàn ông với một tạp dề chuẩn bị hỗn hợp ở đâu,bát,285821,3
màu của mặt phẳng là gì,màu vàng,507276,2
bồn tiểu ở đâu,phòng tắm,103236,3
màu sắc của các dấu hiệu là gì,màu xanh lá,337062,2
đỗ xe đang được đỗ trong đồng cỏ,xe ô tô,411215,0
những gì được trang trí và tổ chức độc đáo,quầy tính tiền,490927,0
những gì đang đi bộ trong vùng nước nông,con chim,357824,0
những gì đang đứng ở rìa tài sản của họ,con chó,485489,0
cái gì đang nằm trên đi văng,con chó,406976,0
màu của đèn dừng là gì,màu vàng,534791,2
"vài con mèo ngủ trưa trên giường, một cái gì",cái ghế,395644,0
có bao nhiêu con chó cony lớn ngồi trong hộp,ba,336843,1
có bao nhiêu màn hình máy tính tại bàn làm việc cho thấy một khung cảnh toàn cảnh của đại dương,ba,484751,1
màu của sợi là gì,màu xanh dương,15809,2
người phụ nữ đang ngồi ở đâu,vali,147775,3
những gì ngủ trong rừng trên một tảng đá,gấu,376443,0
những gì được bao phủ bởi lá nhôm,chảo,555356,0
cuộc họp kinh doanh đang diễn ra ở đâu,phòng,67655,3
có bao nhiêu chiếc thuyền đang di chuyển trên sông bởi một thác nước,bốn,166179,1
"có bao nhiêu người đang ngồi trên chiếc ca nô, với người thứ ba từ chèo trước",bốn,456245,1
vài bông hoa ở đâu,lọ cắm hoa,443315,3
màu của đậu là gì,màu xanh lá,160615,2
người phụ nữ nuôi con ở đâu,cái ghế,20702,3
màu của chuột là gì,màu trắng,492774,2
người đàn ông cầm cái gì và đội mũ bảo hiểm,gậy,348469,0
một số hoa hướng dương được cắm ở đâu,lọ cắm hoa,236268,3
người đang làm việc trên máy tính xách tay ở đâu,xe ô tô,233706,3
người phụ nữ mặc những gì và mang theo một ly cà phê từ starbucks đang đi bộ với hành lý,áo khoác,454143,0
cô gái giữ một bát kim loại ở đâu,phòng tắm,177840,3
những gì được trang trí với hoa và cờ,bánh,461378,0
có bao nhiêu người trên một chiếc thuyền nhỏ trong đại dương,bốn,576733,1
người đàn ông đang ngồi ở đâu,xe tải,565546,3
những gì đang chạy trên một cánh đồng phủ đầy cỏ,hươu cao cổ,392933,0
người đàn ông đang đi xe đạp với tốc độ bao nhiêu mà không cầm ghi đông,mười,67117,1
màu sắc của tán lá là gì,màu xanh lá,112395,2
những bó hoa khác nhau cắm ở đâu,lọ cắm hoa,474439,3
hai người đông người ở đâu,phòng tắm,359180,3
có bao nhiêu đĩa vệ tinh treo trên dây nhìn ra bầu trời đầy mây,chín,94663,1
một vài phụ nữ đứng ở đâu,hồ bơi,553668,3
màu của đường ray là gì,màu xanh dương,224260,2
hai bông hoa màu tím ở đâu,lọ cắm hoa,374677,3
những gì đang chiếm cảng cát bên cạnh nước,con bò,427865,0
những gì ngồi trước một số món ăn giáng sinh,chuối,347568,0
màu của băng ghế là gì,màu xanh lá,489470,2
có bao nhiêu thanh niên đứng trong vòng tròn với một trong số họ trên ván trượt,bốn,186605,1
những gì đỗ bên cạnh xe buýt đỏ,xe buýt,533107,0
có bao nhiêu con cừu đang chăn thả trên đồng cỏ gần hàng rào dây thép,hai,149253,1
thức ăn gần như đã sẵn sàng ở đâu,món ăn,340419,3
người đang thọc tay vào đâu,chậu,381470,3
người đàn ông đang cưỡi ván trượt của mình ở đâu,đường phố,397454,3
ghế ngồi ở đâu,phòng,578843,3
những gì đang ngồi ở lối vào của bãi đậu xe,đồng hồ,396768,0
màu của con mèo là gì,màu cam,118997,2
những chiếc bàn phủ đầy tuyết,quán ăn,413626,0
sân cỏ xanh có bao nhiêu ván lướt sóng nằm trong một nửa vòng tròn với nhau,năm,273352,1
có bao nhiêu đứa trẻ đang nhìn vào đĩa bánh rán,hai,71716,1
một chuyến tàu hiện đại ở đâu,trạm,345152,3
có bao nhiêu con ngựa đua đang đua ngựa qua bãi biển,ba,300887,1
những gì được hiển thị trên vỉa hè,vòi,355756,0
những gì được hiển thị trên đường đi bộ,vòi,528731,0
màu của tường là gì,màu xám,366810,2
người đàn ông ở đâu,xe lăn,120061,3
màu của xe là gì,màu trắng,84625,2
những gì nằm trên bàn bên cạnh hai cây nhang trong một ly,nến,388988,0
có bao nhiêu biển hiệu được treo liên tiếp ở phía trước của một tòa nhà sang trọng,bốn,457708,1
người phụ nữ đặt hàng ở đâu,quán ăn,480121,3
gấu đi lên một số tảng đá ở đâu,chuồng,535766,3
có bao nhiêu người đàn ông mặc đồ trượt tuyết leo dốc cạnh cây,ba,14677,1
có bao nhiêu người đàn ông trong sóng của đại dương,bốn,35711,1
con chó đuổi theo bao nhiêu con bò trên đồng cỏ,ba,250897,1
những gì bên cạnh chiếc vali,hộp,535050,0
con bò ở đâu,chuồng trại,342146,3
đèn dừng ở đâu,đường phố,525779,3
những hộp đầy màu sắc được xếp chồng lên nhau ở đâu,gian hàng,452441,3
hai nơi tạo nên giường đôi ở đâu,phòng,563656,3
mèo tam thể trắng và mèo mướp ở đâu,giường,580234,3
con chim đã chết được cân ở đâu,tách,142941,3
con dê nhìn vào đâu trong khi đứng,chuồng,287907,3
người đàn ông mang gì trong khu vực nhà bếp,tạp dề,282889,3
nằm trong phòng khách,đi văng,412878,0
những gì đỗ ở bến cảng,con thuyền,529774,0
màu của động vật là gì,màu đen,429092,2
màu của cột là gì,màu xanh dương,159456,2
người đàn ông cầm những gì chuẩn bị ném nó,dĩa nhựa,409198,0
những người phụ nữ làm sạch một cái chảo ở đâu trong khi hai người nấu ăn,phòng bếp,444794,3
có bao nhiêu người đứng trên đầu một ô tô trong khi hai người đứng cạnh ô tô cùng nhìn lên người đó,một,367763,1
những gì có những con chó nóng và khoai tây chiên với đồ uống,cái mâm,397734,0
đoàn tàu chạy qua tàu khác ở đâu,trạm,537861,3
người phụ nữ lấy một bức ảnh của mình ở đâu,gương,408465,3
có bao nhiêu phụ nữ đang tạo dáng với ly rượu,ba,514346,1
hai người đang chơi một trò chơi video ở đâu,phòng,107428,3
những gì nằm trên bàn bên cạnh một số giấy tờ,laptop,473370,0
đây là một cô gái giữ những gì với những người khác,diều,521071,0
màu của con mèo là gì,màu đen,411160,2
những gì trên đường tuyết ngồi trên một chiếc ghế lớn,bức tượng,417653,0
cái gì và gurney bên cạnh xe máy,xe cộ,454129,0
những gì đang chạy trên đường,xe buýt,571384,0
người đàn ông mặc quần nâu giữ gì,ván lướt sóng,461838,0
nhóm người chuẩn bị thức ăn ở đâu,phòng bếp,296360,3
màu của bảng là gì,màu đen,71265,2
có bao nhiêu người đang nhìn vào điện thoại di động,bốn,27610,1
"có bao nhiêu hộp nhựa đựng đầy rau trộn, kể cả bông cải xanh",sáu,459463,1
có bao nhiêu công nhân đứng cạnh nhau với những chiếc bánh nướng phía sau họ,ba,370677,1
người đàn ông đi tiểu ở đâu,nhà vệ sinh,530033,3
cô gái giữ một quả chuối ở đâu,thùng chứa,426422,3
màu sắc của bánh ngọt là gì,màu vàng,354570,2
những gì đang đứng trong cây bút bởi một hàng rào,con voi,463751,0
người đàn ông trong công viên đang thả là gì,diều,407868,0
màu của tường là gì,màu xám,539675,2
màu của bảng là gì,màu xanh lá,215746,2
một số hươu cao cổ đứng ở đâu,chuồng,415269,3
có bao nhiêu người đang chơi trò ném đĩa trong hồ bơi,ba,98162,1
màu của hoa hồng là gì,màu đỏ,34973,2
những gì bừa bộn với giấy và vật và máy tính xách tay trên,cái bàn,444682,0
cái gì đậu ở phía trước của một đồng hồ đậu xe,xe đạp,370208,0
hai giường được đặt gọn gàng ở đâu,phòng,435994,3
hai người đang kéo cái gì ở sân bay,vali,359676,0
màu của đường dẫn là gì,màu xám,92868,2
xây dựng toronto blue jays bóng chày chuyên nghiệp,bánh,434129,0
màu của đồ nội thất là gì,màu đen,426985,2
cái gì đang ngồi bên lề đường,băng ghế,549965,0
và ăn những gì tại sở thú với những con voi khác đằng sau anh ta,bãi cỏ,411043,0
có bao nhiêu người đang trượt tuyết băng đồng cùng nhau,hai,222394,1
người đàn ông rửa tay ở đâu,chậu,40901,3
màu của lá là gì,màu xanh lá,333216,2
có bao nhiêu kiện hành lý màu hồng ngồi trên sàn gỗ,ba,125298,1
những gì trên nhánh cây ,con chim,346067,0
những gì đang trên và kết nối với dây,điện thoại,511403,0
cái gì kéo đoàn tàu của nó quanh khúc cua,động cơ,564739,0
cái gì đang đậu trên sân cỏ,máy bay,349868,0
đang chơi gì với nhau trong cái hố nước nông vậy,con voi,353408,0
những bước ra từ phía sau bàn chải,con voi,534151,0
màu sắc của bông hoa là gì,màu vàng,193759,2
nhóm thuyền đang đậu ở đâu,bến du thuyền,124747,3
những gì bên cạnh một hàng rào dây,con voi,402123,0
màu của bộ đồ là gì,màu đen,19955,2
màu của cà vạt là gì,màu tía,497172,2
màu của chiếc nón là gì,màu xanh lá,251293,2
tấm biển ở đâu,cửa sổ,557824,3
nội thất màu tối đang ở đâu,phòng,140108,3
màu của chiếc ghế dài là gì,màu đỏ,24204,2
màu của thằn lằn là gì,màu xanh lá,266310,2
đỗ gì ở ga tàu,xe lửa,452461,0
con mèo đen đang nằm ở đâu,vali,150919,3
có bao nhiêu phụ nữ ăn mặc hở hang với chiếc mô tô,bốn,36981,1
người phụ nữ vuốt ve ở đâu,lồng,421400,3
một con chim mũm mĩm ở đâu,cây,135878,3
đàn ông và phụ nữ cắt những gì cùng nhau,bánh,371854,0
có bao nhiêu người đứng trước một toa tàu,hai,313709,1
màu của căn phòng là gì,màu tía,277141,2
những gì đưa vào nó,phòng bếp,545101,0
màu của sợi dây là gì,màu cam,100647,2
corndogs đang được nấu ở đâu,phòng bếp,372514,3
nhà vệ sinh trắng đang đặt ở đâu,phòng tắm,534521,3
những gì đưa bàn chân của nó vào một chiếc cốc trên một đêm,con mèo,387434,0
đứa trẻ đang nằm ở đâu,giường,567439,3
những gì đang đến gần ga nơi một người đàn ông đang đứng,tàu hỏa,395046,0
những gì đứng đầu với máy tính xách tay với hai màn hình,cái bàn,549674,0
trên bàn trắng có bao nhiêu con gấu bông,hai,56250,1
hai con chó ngủ trên một chiếc giường chó nhỏ là gì,giường,354126,0
những gì trên bầu trời ở bãi biển,diều,534444,0
cái gì nằm trên mặt tối của ngôi nhà,phòng,579970,0
những gì có đồng hồ ở trên cùng nhưng nó nhỏ,tòa tháp,454623,0
màu của bánh là gì,màu trắng,92319,2
những gì ngồi cập cảng gần cầu thang,con thuyền,529774,0
màu của lớp phủ là gì,màu trắng,377177,2
những gì được tập trung vào nhiếp ảnh gia để cung cấp một cái nhìn chính diện,ngựa rằn,342682,0
màu của quần là gì,màu đen,147270,2
con ngựa kéo một chiếc xe lôi ở đâu,đường phố,202004,3
những gì đang nằm cạnh bên bức tường,bồn tắm,567693,0
có bao nhiêu con hươu cao cổ đang đứng yên khi gặm cỏ trên cành,một,183603,1
những gì có vẻ để một số rau sẵn sàng để được trộn lẫn,máy xay,407976,0
những gì được hiển thị với giường và hành lý,phòng,393421,0
những gì đang đứng dưới cây xanh,con bò,512648,0
ở đâu có nhiều chai một đầu bếp với tạp dề,phòng bếp,235683,3
có bao nhiêu người chơi polo trên ngựa trên một cánh đồng,năm,213592,1
hai con ngựa vằn đang ăn gì dưới một chiếc ô,bãi cỏ,529348,0
những gì nằm ở phía đất nước trên đường ray tàu vắng,tàu hỏa,411215,0
những gì đậu trên cành cây,con chim,492349,0
những gì nằm trên cỏ bên ngoài,con mèo,389969,0
những gì đang bay thấp trong khi bốn người khác bay trong sự hình thành ở trên,máy bay,393858,0
màu của con chó là gì,màu trắng,64708,2
những gì chứa đầy cây xanh,lọ cắm hoa,549300,0
chuyến tàu đi xuống đường ở đâu,trạm,160433,3
những miếng bông cải xanh có nhiều màu sắc khác nhau nằm ở đâu,bát,517586,3
người phụ nữ mặc váy bán trang trọng đang cầm cái gì,chiếc ô,491061,0
màu của vòi nước là gì,màu đỏ,2148,2
một con chó con đang ngồi ở đâu,bát,315944,3
có bao nhiêu cái kéo có một sợi dây trên đó,một,517936,1
hai câu chuyện bên cạnh một tòa nhà có khung màu nâu,tòa nhà,368884,0
những gì đang nằm trong cỏ xanh với một chiếc dĩa nhựa màu đỏ,con chó,408008,0
màu của con chim là gì,màu xám,360975,2
gấu teddy đỏ đang ở đâu,cái ghế,470539,3
người phụ nữ trộn một ít thức ăn ở đâu,cái nồi,394283,3
cô bé ngồi ở đâu,vali,233143,3
những gì đậu trên máng xối nhà,con chim,464248,0
người đàn ông cưỡi gì trên mặt đất trên tuyết,ván trượt,578427,0
cái gì nằm trên chiếc gối trên chiếc giường không được dọn sẵn,gấu,341957,0
"cái gì bên cạnh bánh lớn, trang trí rực rỡ",dĩa,405882,0
đâu là bó hotdogs nơi nấu ăn,cái nồi,46298,3
những gì đi dạo qua khu vực cỏ giữa cây,hươu cao cổ,426948,0
con chó đen nhìn sự phản chiếu của nó ở đâu,gương,457477,3
cô gái trẻ giữ được gì,chiếc ô,509590,0
màu của cái bát là gì,màu xanh lá,572024,2
những gì đang được tải với hành lý hành lý,máy bay,393869,0
màu của cây cột là gì,màu xanh lá,493841,2
người phụ nữ lấy một bức ảnh của mình ở đâu,gương,509054,3
các tòa nhà gạch cũ được phản chiếu ở đâu,cửa,441969,3
"những gì đông đúc với nhiều thứ bao gồm cả ghế, một chiếc xe đạp và một cái bàn với cốc trên đó",phòng,384527,0
điều gì tạo ra một sự tiếp giáp bất thường với các sọc ngựa vằn,rào chắn,509588,0
ba quả chanh nằm ở đâu,bát,254197,3
có bao nhiêu máy bay chiến đấu màu bạc đang bay qua bầu trời,chín,581218,1
màu của nón là gì,màu cam,187732,2
màu của áo là gì,màu đỏ,468626,2
màu của con ngựa là gì,màu trắng,123764,2
màu của chiếc mũ là gì,màu tía,21345,2
những gì đứng gần rìa của một dòng sông,con chim,516186,0
cái gì đang ngồi trên bàn,hộp,430380,0
những gì bên cạnh điện thoại di động,nón,431199,0
cặp vợ chồng đang đứng ở đâu,chuồng,507101,3
những gì đã kết thúc trên một ngân hàng tuyết bởi một hồ nước,con thuyền,412914,0
có bao nhiêu con ngựa bên cạnh vùng nước sau hàng rào,năm,62151,1
có bao nhiêu người đàn ông mặc vest và cà vạt đi cạnh nhau,ba,542442,1
những gì đã che phủ mây che phủ phía trên một khu rừng,núi,515422,0
một con mèo màu cam đang ngủ ở đâu,giường,195889,3
những gì đang đi qua một khu rừng xanh tươi tốt,con ngựa,366830,0
